FECHA,EMISION,PA,TV,TIPO BURSATILIDAD
2015-05-14 00:00:00,ALSEA*,47.08,1,AL
2015-06-02 00:00:00,ALSEA*,45.77,1,AL
2015-06-04 00:00:00,ALSEA*,45.66,1,AL
2015-06-12 00:00:00,ALSEA*,46.77,1,AL
2015-06-23 00:00:00,ALSEA*,48.45,1,AL
2015-06-24 00:00:00,ALSEA*,48.81,1,AL
2015-06-29 00:00:00,ALSEA*,47.32,1,AL
2015-07-20 00:00:00,ALSEA*,53.62,1,AL
2015-08-12 00:00:00,ALSEA*,52.13,1,AL
2015-08-24 00:00:00,ALSEA*,48.56,1,AL
2015-09-11 00:00:00,ALSEA*,49.73,1,AL
2015-09-14 00:00:00,ALSEA*,49.51,1,AL
2015-10-02 00:00:00,ALSEA*,52.32,1,AL
2015-10-06 00:00:00,ALSEA*,52.98,1,AL
2015-10-08 00:00:00,ALSEA*,53.45,1,AL
2015-10-16 00:00:00,ALSEA*,54.48,1,AL
2015-11-05 00:00:00,ALSEA*,56.06,1,AL
2015-11-10 00:00:00,ALSEA*,55.4,1,AL
2015-11-26 00:00:00,ALSEA*,59.93,1,AL
2015-12-08 00:00:00,ALSEA*,57.75,1,AL
2016-01-06 00:00:00,ALSEA*,59.19,1,AL
2016-01-18 00:00:00,ALSEA*,59.78,1,AL
2016-01-25 00:00:00,ALSEA*,62.8,1,AL
2016-01-26 00:00:00,ALSEA*,62.82,1,AL
2016-01-29 00:00:00,ALSEA*,64.2,1,AL
2016-02-12 00:00:00,ALSEA*,62.81,1,AL
2016-02-19 00:00:00,ALSEA*,63.11,1,AL
2015-04-01 00:00:00,AXTELCPO,4.82,1,ME
2015-04-24 00:00:00,AXTELCPO,4.56,1,ME
2015-06-09 00:00:00,AXTELCPO,4.92,1,ME
2015-06-12 00:00:00,AXTELCPO,4.97,1,ME
2015-06-17 00:00:00,AXTELCPO,4.96,1,ME
2015-06-22 00:00:00,AXTELCPO,5.01,1,ME
2015-07-10 00:00:00,AXTELCPO,5.02,1,ME
2015-07-22 00:00:00,AXTELCPO,4.86,1,ME
2015-08-04 00:00:00,AXTELCPO,5.94,1,ME
2015-08-11 00:00:00,AXTELCPO,6.43,1,ME
2015-08-17 00:00:00,AXTELCPO,6.21,1,ME
2015-08-24 00:00:00,AXTELCPO,6.43,1,ME
2015-09-01 00:00:00,AXTELCPO,6.89,1,ME
2015-09-04 00:00:00,AXTELCPO,6.88,1,ME
2015-09-21 00:00:00,AXTELCPO,7.89,1,ME
2015-10-07 00:00:00,AXTELCPO,7.7,1,ME
2015-10-13 00:00:00,AXTELCPO,7.8,1,ME
2015-11-06 00:00:00,AXTELCPO,7.19,1,ME
2015-11-10 00:00:00,AXTELCPO,7.2,1,ME
2015-11-23 00:00:00,AXTELCPO,7.96,1,ME
2015-12-01 00:00:00,AXTELCPO,8.49,1,ME
2015-12-04 00:00:00,AXTELCPO,8.78,1,ME
2015-12-09 00:00:00,AXTELCPO,8.96,1,ME
2015-12-15 00:00:00,AXTELCPO,8.43,1,ME
2015-12-22 00:00:00,AXTELCPO,8.59,1,ME
2015-12-24 00:00:00,AXTELCPO,8.73,1,ME
2015-12-30 00:00:00,AXTELCPO,8.73,1,ME
2016-02-17 00:00:00,AXTELCPO,7.74,1,ME
2016-02-24 00:00:00,AXTELCPO,7.67,1,ME
2016-03-08 00:00:00,AXTELCPO,8.07,1,ME
2016-03-09 00:00:00,AXTELCPO,8.33,1,ME
2015-04-09 00:00:00,BOLSAA,26.441649,1,AL
2015-04-14 00:00:00,BOLSAA,25.944065,1,AL
2015-05-06 00:00:00,BOLSAA,27.566191,1,AL
2015-05-11 00:00:00,BOLSAA,27.586094,1,AL
2015-05-25 00:00:00,BOLSAA,27.625901,1,AL
2015-06-03 00:00:00,BOLSAA,27.20793,1,AL
2015-06-05 00:00:00,BOLSAA,26.969089,1,AL
2015-06-25 00:00:00,BOLSAA,27.556239,1,AL
2015-06-30 00:00:00,BOLSAA,27.048702,1,AL
2015-08-04 00:00:00,BOLSAA,29.0888,1,AL
2015-08-07 00:00:00,BOLSAA,29.039041,1,AL
2015-08-19 00:00:00,BOLSAA,26.85962,1,AL
2015-08-26 00:00:00,BOLSAA,25.048412,1,AL
2015-09-04 00:00:00,BOLSAA,25.774886,1,AL
2015-09-17 00:00:00,BOLSAA,26.889475,1,AL
2015-11-06 00:00:00,BOLSAA,27.14,1,AL
2015-11-09 00:00:00,BOLSAA,27.09,1,AL
2015-11-24 00:00:00,BOLSAA,25.81,1,AL
2015-12-04 00:00:00,BOLSAA,23.18,1,AL
2015-12-11 00:00:00,BOLSAA,22.67,1,AL
2015-12-24 00:00:00,BOLSAA,23.22,1,AL
2016-01-06 00:00:00,BOLSAA,22.48,1,AL
2016-01-18 00:00:00,BOLSAA,22.17,1,AL
2016-03-17 00:00:00,BOLSAA,27.55,1,AL
2015-04-14 00:00:00,CEMEXCPO,14.403846,1,AL
2015-05-20 00:00:00,CEMEXCPO,15.32,1,AL
2015-05-25 00:00:00,CEMEXCPO,14.96,1,AL
2015-06-18 00:00:00,CEMEXCPO,14.84,1,AL
2015-06-22 00:00:00,CEMEXCPO,14.84,1,AL
2015-07-06 00:00:00,CEMEXCPO,14.1,1,AL
2015-07-09 00:00:00,CEMEXCPO,14.01,1,AL
2015-07-21 00:00:00,CEMEXCPO,14.23,1,AL
2015-07-27 00:00:00,CEMEXCPO,12.84,1,AL
2015-08-11 00:00:00,CEMEXCPO,13.3,1,AL
2015-09-29 00:00:00,CEMEXCPO,11.56,1,AL
2015-10-15 00:00:00,CEMEXCPO,12.73,1,AL
2015-10-22 00:00:00,CEMEXCPO,11.63,1,AL
2015-11-13 00:00:00,CEMEXCPO,9.35,1,AL
2015-11-17 00:00:00,CEMEXCPO,9.89,1,AL
2015-12-30 00:00:00,CEMEXCPO,9.26,1,AL
2016-01-08 00:00:00,CEMEXCPO,7.77,1,AL
